sample_id	run_id	fq1	fq2	rgGroup_ID	platform
LsKaz10	01_L1 	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz10_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz10_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz10	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz10_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz10_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01	hiseq2000
LsKaz1	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz1_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz1_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz1	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz1_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz1_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01	hiseq2000
LsKaz2	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz2_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz2_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz2	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz2_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz2_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01	hiseq2000
LsKaz3	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz3_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz3_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz3	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz3_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz3_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01	hiseq2000
LsKaz4	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz4_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz4_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz4	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz4_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz4_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsKaz5	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz5_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz5_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz5	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz5_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz5_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsKaz6	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz6_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz6_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz6	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz6_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz6_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsKaz7	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz7_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz7_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz7	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz7_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz7_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsKaz8	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz8_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz8_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz8	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz8_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz8_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsKaz9	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz9_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz9_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01	hiseq2000
LsKaz9	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz9_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsKaz9_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa10	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa10_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa10_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa10	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa10_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa10_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01	hiseq2000
LsSpa1	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa1_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa1_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa1	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa1_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa1_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa2	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa2_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa2_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa2	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa2_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa2_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa3	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa3_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa3_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa3	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa3_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa3_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa4	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa4_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa4_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa4	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa4_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa4_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa5	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa5_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa5_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa5	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa5_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa5_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa6	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa6_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa6_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa6	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa6_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa6_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa7	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa7_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa7_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa7	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa7_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa7_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa8	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa8_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa8_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa8	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa8_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa8_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSpa9	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa9_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa9_01_L1_R2_trimmed.fastq.gz	C3MG8ACXX_L1_01 hiseq2000
LsSpa9	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa9_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSpa9_01_L2_R2_trimmed.fastq.gz	C79PFANXX_L2_01 hiseq2000
LsSwe10	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe10_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe10_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01	hiseq2000
LsSwe1	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe1_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe1_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe2	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe2_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe2_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe3	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe3_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe3_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe4	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe4_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe4_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe5	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe5_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe5_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe6	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe6_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe6_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe7	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe7_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe7_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe8	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe8_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe8_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
LsSwe9	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe9_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe9_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
M10	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M10_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M10_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01	novoseq
M1	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M1_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M1_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M2	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M2_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M2_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M3	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M3_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M3_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M4	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M4_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M4_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M5	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M5_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M5_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M6	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M6	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L3_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L3_R2_trimmed.fastq.gz	HMHL7DSX7_L3_01        novoseq
M7	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M7_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M7_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M8	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M8_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M8_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M9	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M9	01_L4	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L4_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L4_R2_trimmed.fastq.gz	HMHL7DSX7_L4_01        novoseq
